job_id,family,task,variant,replicate,model_id,harness_id,max_iterations,submitted_iterations,structured_claims,unique_structured_claims,primary_recovered,primary_iteration,strict_recovered,strict_iteration,recovery_at_95,recovery_at_exact_membership,capped_iterations
job_0001,clinical,prostate,anonymized,5,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,15,15,False,,False,,False,False,25
job_0002,clinical,prostate,anonymized,10,gpt-5.6-luna,chatgpt-work-structured-v1,25,4,12,12,True,4.0,True,4.0,True,True,4
job_0003,clinical,crc,anonymized,9,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,15,15,False,,False,,False,False,25
job_0004,clinical,nsclc,anonymized,18,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,13,11,False,,False,,False,False,25
job_0005,clinical,breast,anonymized,2,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,12,12,False,,False,,False,False,25
job_0006,clinical,crc,anonymized,14,gpt-5.6-luna,chatgpt-work-structured-v1,25,3,8,6,False,,False,,False,False,25
job_0007,clinical,nsclc,anonymized,12,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,10,9,False,,False,,False,False,25
job_0008,clinical,prostate,named,18,gpt-5.6-luna,chatgpt-work-structured-v1,25,4,16,16,False,,False,,False,False,25
job_0009,depmap,depmap,anonymized,24,gpt-5.6-luna,chatgpt-work-structured-v1,10,4,40,40,False,,False,,False,False,10
job_0010,depmap,depmap,anonymized,14,gpt-5.6-luna,chatgpt-work-structured-v1,10,3,30,30,False,,False,,False,False,10
job_0011,clinical,prostate,anonymized,11,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,14,12,False,,False,,False,False,25
job_0012,clinical,breast,anonymized,5,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,10,10,False,,False,,False,False,25
job_0013,depmap,depmap,named,23,gpt-5.6-luna,chatgpt-work-structured-v1,10,3,25,25,False,,False,,False,False,10
job_0014,clinical,prostate,anonymized,8,gpt-5.6-luna,chatgpt-work-structured-v1,25,6,12,12,False,,False,,False,False,25
job_0015,clinical,nsclc,anonymized,9,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,12,10,False,,False,,False,False,25
job_0016,depmap,depmap,anonymized,19,gpt-5.6-luna,chatgpt-work-structured-v1,10,10,10,10,False,,False,,False,False,10
job_0017,clinical,crc,anonymized,4,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,12,11,False,,False,,False,False,25
job_0018,clinical,nsclc,anonymized,16,gpt-5.6-luna,chatgpt-work-structured-v1,25,10,25,24,False,,False,,False,False,25
job_0019,clinical,nsclc,named,18,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,15,14,False,,False,,False,False,25
job_0020,depmap,depmap,named,17,gpt-5.6-luna,chatgpt-work-structured-v1,10,10,20,20,False,,False,,False,False,10
job_0021,clinical,prostate,named,1,gpt-5.6-luna,chatgpt-work-structured-v1,25,4,13,13,False,,False,,False,False,25
job_0022,clinical,aml,named,2,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,20,20,False,,False,,False,False,25
job_0023,depmap,depmap,anonymized,8,gpt-5.6-luna,chatgpt-work-structured-v1,10,10,15,15,False,,False,,False,False,10
job_0024,depmap,depmap,named,10,gpt-5.6-luna,chatgpt-work-structured-v1,10,3,24,24,False,,False,,False,False,10
job_0025,clinical,nsclc,anonymized,4,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,17,17,False,,False,,False,False,25
