run_id,model,workflow,status
1a87643398283251__deliberative__astra_medium__r001,astra_medium,deliberative,completed
1a87643398283251__deliberative__astra_medium__r002,astra_medium,deliberative,completed
1a87643398283251__deliberative__astra_medium__r003,astra_medium,deliberative,completed
1a87643398283251__deliberative__astra_medium__r004,astra_medium,deliberative,completed
1a87643398283251__deliberative__astra_medium__r005,astra_medium,deliberative,completed
1a87643398283251__deliberative__astra_medium__r006,astra_medium,deliberative,completed
1a87643398283251__deliberative__astra_medium__r007,astra_medium,deliberative,active
1a87643398283251__deliberative__astra_medium__r008,astra_medium,deliberative,active
1a87643398283251__deliberative__astra_medium__r009,astra_medium,deliberative,queued
1a87643398283251__deliberative__astra_medium__r010,astra_medium,deliberative,queued
1a87643398283251__deliberative__gemma_4_31b__r001,gemma_4_31b,deliberative,active
1a87643398283251__deliberative__gemma_4_31b__r002,gemma_4_31b,deliberative,queued
1a87643398283251__deliberative__gemma_4_31b__r003,gemma_4_31b,deliberative,queued
1a87643398283251__deliberative__gemma_4_31b__r004,gemma_4_31b,deliberative,queued
1a87643398283251__deliberative__gemma_4_31b__r005,gemma_4_31b,deliberative,queued
1a87643398283251__deliberative__gemma_4_31b__r006,gemma_4_31b,deliberative,queued
1a87643398283251__deliberative__gemma_4_31b__r007,gemma_4_31b,deliberative,queued
1a87643398283251__deliberative__gemma_4_31b__r008,gemma_4_31b,deliberative,queued
1a87643398283251__deliberative__gemma_4_31b__r009,gemma_4_31b,deliberative,queued
1a87643398283251__deliberative__gemma_4_31b__r010,gemma_4_31b,deliberative,queued
1a87643398283251__deliberative__luna_medium__r001,luna_medium,deliberative,completed
1a87643398283251__deliberative__luna_medium__r002,luna_medium,deliberative,failed
1a87643398283251__deliberative__luna_medium__r003,luna_medium,deliberative,completed
1a87643398283251__deliberative__luna_medium__r004,luna_medium,deliberative,completed
1a87643398283251__deliberative__luna_medium__r005,luna_medium,deliberative,completed
1a87643398283251__deliberative__luna_medium__r006,luna_medium,deliberative,completed
1a87643398283251__deliberative__luna_medium__r007,luna_medium,deliberative,completed
1a87643398283251__deliberative__luna_medium__r008,luna_medium,deliberative,active
1a87643398283251__deliberative__luna_medium__r009,luna_medium,deliberative,active
1a87643398283251__deliberative__luna_medium__r010,luna_medium,deliberative,queued
1a87643398283251__deliberative__qwen_3_8_27b__r001,qwen_3_8_27b,deliberative,queued
1a87643398283251__deliberative__qwen_3_8_27b__r002,qwen_3_8_27b,deliberative,queued
1a87643398283251__deliberative__qwen_3_8_27b__r003,qwen_3_8_27b,deliberative,queued
1a87643398283251__deliberative__qwen_3_8_27b__r004,qwen_3_8_27b,deliberative,queued
1a87643398283251__deliberative__qwen_3_8_27b__r005,qwen_3_8_27b,deliberative,queued
1a87643398283251__deliberative__qwen_3_8_27b__r006,qwen_3_8_27b,deliberative,queued
1a87643398283251__deliberative__qwen_3_8_27b__r007,qwen_3_8_27b,deliberative,queued
1a87643398283251__deliberative__qwen_3_8_27b__r008,qwen_3_8_27b,deliberative,queued
1a87643398283251__deliberative__qwen_3_8_27b__r009,qwen_3_8_27b,deliberative,queued
1a87643398283251__deliberative__qwen_3_8_27b__r010,qwen_3_8_27b,deliberative,queued
1a87643398283251__deliberative__sol_medium__r001,sol_medium,deliberative,completed
1a87643398283251__deliberative__sol_medium__r002,sol_medium,deliberative,completed
1a87643398283251__deliberative__sol_medium__r003,sol_medium,deliberative,completed
1a87643398283251__deliberative__sol_medium__r004,sol_medium,deliberative,completed
1a87643398283251__deliberative__sol_medium__r005,sol_medium,deliberative,completed
1a87643398283251__deliberative__sol_medium__r006,sol_medium,deliberative,active
1a87643398283251__deliberative__sol_medium__r007,sol_medium,deliberative,active
1a87643398283251__deliberative__sol_medium__r008,sol_medium,deliberative,active
1a87643398283251__deliberative__sol_medium__r009,sol_medium,deliberative,queued
1a87643398283251__deliberative__sol_medium__r010,sol_medium,deliberative,queued
1a87643398283251__deliberative__terra_medium__r001,terra_medium,deliberative,completed
1a87643398283251__deliberative__terra_medium__r002,terra_medium,deliberative,completed
1a87643398283251__deliberative__terra_medium__r003,terra_medium,deliberative,completed
1a87643398283251__deliberative__terra_medium__r004,terra_medium,deliberative,completed
1a87643398283251__deliberative__terra_medium__r005,terra_medium,deliberative,completed
1a87643398283251__deliberative__terra_medium__r006,terra_medium,deliberative,completed
1a87643398283251__deliberative__terra_medium__r007,terra_medium,deliberative,completed
1a87643398283251__deliberative__terra_medium__r008,terra_medium,deliberative,completed
1a87643398283251__deliberative__terra_medium__r009,terra_medium,deliberative,active
1a87643398283251__deliberative__terra_medium__r010,terra_medium,deliberative,queued
1a87643398283251__persistent__astra_medium__r001,astra_medium,persistent,completed
1a87643398283251__persistent__astra_medium__r002,astra_medium,persistent,completed
1a87643398283251__persistent__astra_medium__r003,astra_medium,persistent,completed
1a87643398283251__persistent__astra_medium__r004,astra_medium,persistent,completed
1a87643398283251__persistent__astra_medium__r005,astra_medium,persistent,completed
1a87643398283251__persistent__astra_medium__r006,astra_medium,persistent,completed
1a87643398283251__persistent__astra_medium__r007,astra_medium,persistent,completed
1a87643398283251__persistent__astra_medium__r008,astra_medium,persistent,completed
1a87643398283251__persistent__astra_medium__r009,astra_medium,persistent,active
1a87643398283251__persistent__astra_medium__r010,astra_medium,persistent,queued
1a87643398283251__persistent__gemma_4_31b__r001,gemma_4_31b,persistent,active
1a87643398283251__persistent__gemma_4_31b__r002,gemma_4_31b,persistent,queued
1a87643398283251__persistent__gemma_4_31b__r003,gemma_4_31b,persistent,queued
1a87643398283251__persistent__gemma_4_31b__r004,gemma_4_31b,persistent,queued
1a87643398283251__persistent__gemma_4_31b__r005,gemma_4_31b,persistent,queued
1a87643398283251__persistent__gemma_4_31b__r006,gemma_4_31b,persistent,queued
1a87643398283251__persistent__gemma_4_31b__r007,gemma_4_31b,persistent,queued
1a87643398283251__persistent__gemma_4_31b__r008,gemma_4_31b,persistent,queued
1a87643398283251__persistent__gemma_4_31b__r009,gemma_4_31b,persistent,queued
1a87643398283251__persistent__gemma_4_31b__r010,gemma_4_31b,persistent,queued
1a87643398283251__persistent__luna_medium__r001,luna_medium,persistent,completed
1a87643398283251__persistent__luna_medium__r002,luna_medium,persistent,completed
1a87643398283251__persistent__luna_medium__r003,luna_medium,persistent,completed
1a87643398283251__persistent__luna_medium__r004,luna_medium,persistent,failed
1a87643398283251__persistent__luna_medium__r005,luna_medium,persistent,completed
1a87643398283251__persistent__luna_medium__r006,luna_medium,persistent,completed
1a87643398283251__persistent__luna_medium__r007,luna_medium,persistent,completed
1a87643398283251__persistent__luna_medium__r008,luna_medium,persistent,completed
1a87643398283251__persistent__luna_medium__r009,luna_medium,persistent,queued
1a87643398283251__persistent__luna_medium__r010,luna_medium,persistent,queued
1a87643398283251__persistent__qwen_3_8_27b__r001,qwen_3_8_27b,persistent,completed
1a87643398283251__persistent__qwen_3_8_27b__r002,qwen_3_8_27b,persistent,queued
1a87643398283251__persistent__qwen_3_8_27b__r003,qwen_3_8_27b,persistent,queued
1a87643398283251__persistent__qwen_3_8_27b__r004,qwen_3_8_27b,persistent,queued
1a87643398283251__persistent__qwen_3_8_27b__r005,qwen_3_8_27b,persistent,queued
1a87643398283251__persistent__qwen_3_8_27b__r006,qwen_3_8_27b,persistent,queued
1a87643398283251__persistent__qwen_3_8_27b__r007,qwen_3_8_27b,persistent,queued
1a87643398283251__persistent__qwen_3_8_27b__r008,qwen_3_8_27b,persistent,queued
1a87643398283251__persistent__qwen_3_8_27b__r009,qwen_3_8_27b,persistent,queued
1a87643398283251__persistent__qwen_3_8_27b__r010,qwen_3_8_27b,persistent,queued
1a87643398283251__persistent__sol_medium__r001,sol_medium,persistent,completed
1a87643398283251__persistent__sol_medium__r002,sol_medium,persistent,completed
1a87643398283251__persistent__sol_medium__r003,sol_medium,persistent,completed
1a87643398283251__persistent__sol_medium__r004,sol_medium,persistent,completed
1a87643398283251__persistent__sol_medium__r005,sol_medium,persistent,completed
1a87643398283251__persistent__sol_medium__r006,sol_medium,persistent,completed
1a87643398283251__persistent__sol_medium__r007,sol_medium,persistent,completed
1a87643398283251__persistent__sol_medium__r008,sol_medium,persistent,active
1a87643398283251__persistent__sol_medium__r009,sol_medium,persistent,active
1a87643398283251__persistent__sol_medium__r010,sol_medium,persistent,queued
1a87643398283251__persistent__terra_medium__r001,terra_medium,persistent,completed
1a87643398283251__persistent__terra_medium__r002,terra_medium,persistent,completed
1a87643398283251__persistent__terra_medium__r003,terra_medium,persistent,completed
1a87643398283251__persistent__terra_medium__r004,terra_medium,persistent,completed
1a87643398283251__persistent__terra_medium__r005,terra_medium,persistent,completed
1a87643398283251__persistent__terra_medium__r006,terra_medium,persistent,completed
1a87643398283251__persistent__terra_medium__r007,terra_medium,persistent,completed
1a87643398283251__persistent__terra_medium__r008,terra_medium,persistent,completed
1a87643398283251__persistent__terra_medium__r009,terra_medium,persistent,completed
1a87643398283251__persistent__terra_medium__r010,terra_medium,persistent,queued
1a87643398283251__sequential__astra_medium__r001,astra_medium,sequential,completed
1a87643398283251__sequential__astra_medium__r002,astra_medium,sequential,completed
1a87643398283251__sequential__astra_medium__r003,astra_medium,sequential,completed
1a87643398283251__sequential__astra_medium__r004,astra_medium,sequential,completed
1a87643398283251__sequential__astra_medium__r005,astra_medium,sequential,completed
1a87643398283251__sequential__astra_medium__r006,astra_medium,sequential,completed
1a87643398283251__sequential__astra_medium__r007,astra_medium,sequential,completed
1a87643398283251__sequential__astra_medium__r008,astra_medium,sequential,completed
1a87643398283251__sequential__astra_medium__r009,astra_medium,sequential,active
1a87643398283251__sequential__astra_medium__r010,astra_medium,sequential,queued
1a87643398283251__sequential__gemma_4_31b__r001,gemma_4_31b,sequential,queued
1a87643398283251__sequential__gemma_4_31b__r002,gemma_4_31b,sequential,queued
1a87643398283251__sequential__gemma_4_31b__r003,gemma_4_31b,sequential,queued
1a87643398283251__sequential__gemma_4_31b__r004,gemma_4_31b,sequential,queued
1a87643398283251__sequential__gemma_4_31b__r005,gemma_4_31b,sequential,queued
1a87643398283251__sequential__gemma_4_31b__r006,gemma_4_31b,sequential,queued
1a87643398283251__sequential__gemma_4_31b__r007,gemma_4_31b,sequential,queued
1a87643398283251__sequential__gemma_4_31b__r008,gemma_4_31b,sequential,queued
1a87643398283251__sequential__gemma_4_31b__r009,gemma_4_31b,sequential,queued
1a87643398283251__sequential__gemma_4_31b__r010,gemma_4_31b,sequential,queued
1a87643398283251__sequential__luna_medium__r001,luna_medium,sequential,completed
1a87643398283251__sequential__luna_medium__r002,luna_medium,sequential,completed
1a87643398283251__sequential__luna_medium__r003,luna_medium,sequential,completed
1a87643398283251__sequential__luna_medium__r004,luna_medium,sequential,completed
1a87643398283251__sequential__luna_medium__r005,luna_medium,sequential,completed
1a87643398283251__sequential__luna_medium__r006,luna_medium,sequential,completed
1a87643398283251__sequential__luna_medium__r007,luna_medium,sequential,completed
1a87643398283251__sequential__luna_medium__r008,luna_medium,sequential,completed
1a87643398283251__sequential__luna_medium__r009,luna_medium,sequential,active
1a87643398283251__sequential__luna_medium__r010,luna_medium,sequential,queued
1a87643398283251__sequential__qwen_3_8_27b__r001,qwen_3_8_27b,sequential,queued
1a87643398283251__sequential__qwen_3_8_27b__r002,qwen_3_8_27b,sequential,queued
1a87643398283251__sequential__qwen_3_8_27b__r003,qwen_3_8_27b,sequential,queued
1a87643398283251__sequential__qwen_3_8_27b__r004,qwen_3_8_27b,sequential,queued
1a87643398283251__sequential__qwen_3_8_27b__r005,qwen_3_8_27b,sequential,queued
1a87643398283251__sequential__qwen_3_8_27b__r006,qwen_3_8_27b,sequential,queued
1a87643398283251__sequential__qwen_3_8_27b__r007,qwen_3_8_27b,sequential,queued
1a87643398283251__sequential__qwen_3_8_27b__r008,qwen_3_8_27b,sequential,queued
1a87643398283251__sequential__qwen_3_8_27b__r009,qwen_3_8_27b,sequential,queued
1a87643398283251__sequential__qwen_3_8_27b__r010,qwen_3_8_27b,sequential,queued
1a87643398283251__sequential__sol_medium__r001,sol_medium,sequential,completed
1a87643398283251__sequential__sol_medium__r002,sol_medium,sequential,completed
1a87643398283251__sequential__sol_medium__r003,sol_medium,sequential,completed
1a87643398283251__sequential__sol_medium__r004,sol_medium,sequential,completed
