llm,harness,workflow,reasoning_effort,view,version,run_id,replicate,iterations,source,pair_id,report_sha256,report_available,source_generation,versions,stage_failure_policy,reported_model,output_tokens,input_tokens,missing_token_calls,unknown_internal_attempts,usage_source,report_error,status,precision,recall,f1,f1_saved,exploration,focal_recovery,response_supported,response_excluded,response_ambiguous,responsiveness,attempted
gpt-6-astra,Codex,persistent,medium,masked,expected,a561a12e2075ee78__persistent__astra_medium__r001,1,25,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/a561a12e2075ee78__persistent__astra_medium__r001,es-v2-nsclc_clinical-42000,b0669b428fddad4fac1e1afa8adefc3727f59badce597a7b3cc7e6402546d7e1,True,20260910_clinical10pct_masked_workflows,"{""numerical_dgp"": 2, ""prompt"": ""ledger-1.0.0"", ""schema_version"": ""stage-forms-1.0.0"", ""scoring"": ""profile-3.0.0"", ""validation_policy"": ""delayed-3.0.0"", ""workflow"": ""appraisal-3.2.0""}",retain_scientific_scores,gpt-6-astra,82042,5376288,0,0,coordination.output_token_accounting,,completed,85.71428571428571,66.66666666666666,74.99999999999999,74.99999999999999,64.44444444444444,100,1.0,1.0,0.25,75.0,True
gpt-6-astra,Codex,persistent,medium,masked,expected,a561a12e2075ee78__persistent__astra_medium__r002,2,25,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/a561a12e2075ee78__persistent__astra_medium__r002,es-v2-nsclc_clinical-42000,0708e5fa09cb812576e2981f2554a5521c2f68b848726db81f1898b3cbaf9f9b,True,20260910_clinical10pct_masked_workflows,"{""numerical_dgp"": 2, ""prompt"": ""ledger-1.0.0"", ""schema_version"": ""stage-forms-1.0.0"", ""scoring"": ""profile-3.0.0"", ""validation_policy"": ""delayed-3.0.0"", ""workflow"": ""appraisal-3.2.0""}",retain_scientific_scores,gpt-6-astra,95897,5678108,0,1,coordination.output_token_accounting,,completed,95.83333333333334,66.66666666666666,78.63247863247862,78.63247863247862,64.44444444444444,100,1.0,1.0,0.8571428571428571,95.23809523809524,True
gpt-6-astra,Codex,persistent,medium,masked,expected,a561a12e2075ee78__persistent__astra_medium__r003,3,25,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/a561a12e2075ee78__persistent__astra_medium__r003,es-v2-nsclc_clinical-42000,8cc3dc60a454773e7885abf9a7426ebe444fa5c3c449965ba71cda5dc033a292,True,20260910_clinical10pct_masked_workflows,"{""numerical_dgp"": 2, ""prompt"": ""ledger-1.0.0"", ""schema_version"": ""stage-forms-1.0.0"", ""scoring"": ""profile-3.0.0"", ""validation_policy"": ""delayed-3.0.0"", ""workflow"": ""appraisal-3.2.0""}",retain_scientific_scores,gpt-6-astra,90473,6045569,0,0,coordination.output_token_accounting,,completed,95.8904109589041,66.66666666666666,78.65168539325842,78.65168539325842,63.55555555555556,100,1.0,1.0,1.0,100.0,True
gpt-6-astra,Codex,persistent,medium,masked,expected,a561a12e2075ee78__persistent__astra_medium__r004,4,25,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/a561a12e2075ee78__persistent__astra_medium__r004,es-v2-nsclc_clinical-42000,07da0a7722cdb45c020dc3f718e2631fe4e919d7bf51a979f5a77e435d560ae0,True,20260910_clinical10pct_masked_workflows,"{""numerical_dgp"": 2, ""prompt"": ""ledger-1.0.0"", ""schema_version"": ""stage-forms-1.0.0"", ""scoring"": ""profile-3.0.0"", ""validation_policy"": ""delayed-3.0.0"", ""workflow"": ""appraisal-3.2.0""}",retain_scientific_scores,gpt-6-astra,88630,5696656,0,0,coordination.output_token_accounting,,completed,100.0,66.66666666666666,80.0,80.0,64.44444444444444,100,1.0,1.0,1.0,100.0,True
gpt-6-astra,Codex,persistent,medium,masked,expected,a561a12e2075ee78__persistent__astra_medium__r005,5,25,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/a561a12e2075ee78__persistent__astra_medium__r005,es-v2-nsclc_clinical-42000,5b21cdc74c24f1ef2e09af28d5cbf5ebdc8634e7f86718d691a18e6186a4087b,True,20260910_clinical10pct_masked_workflows,"{""numerical_dgp"": 2, ""prompt"": ""ledger-1.0.0"", ""schema_version"": ""stage-forms-1.0.0"", ""scoring"": ""profile-3.0.0"", ""validation_policy"": ""delayed-3.0.0"", ""workflow"": ""appraisal-3.2.0""}",retain_scientific_scores,gpt-6-astra,87553,5846663,0,0,coordination.output_token_accounting,,completed,88.88888888888889,66.66666666666666,76.19047619047618,76.19047619047618,64.44444444444444,100,1.0,1.0,1.0,100.0,True
gpt-6-astra,Codex,persistent,medium,masked,expected,a561a12e2075ee78__persistent__astra_medium__r006,6,25,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/a561a12e2075ee78__persistent__astra_medium__r006,es-v2-nsclc_clinical-42000,8c31d686286f6c9318fe371be96d55aedaa5b41068ede8274cb453d4ecc735fe,True,20260910_clinical10pct_masked_workflows,"{""numerical_dgp"": 2, ""prompt"": ""ledger-1.0.0"", ""schema_version"": ""stage-forms-1.0.0"", ""scoring"": ""profile-3.0.0"", ""validation_policy"": ""delayed-3.0.0"", ""workflow"": ""appraisal-3.2.0""}",retain_scientific_scores,gpt-6-astra,90949,5981251,0,2,coordination.output_token_accounting,,completed,96.15384615384616,66.66666666666666,78.74015748031496,78.74015748031496,64.0,100,1.0,0.6666666666666666,1.0,88.88888888888887,True
gpt-6-astra,Codex,persistent,medium,masked,expected,a561a12e2075ee78__persistent__astra_medium__r007,7,25,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/a561a12e2075ee78__persistent__astra_medium__r007,es-v2-nsclc_clinical-42000,a779d1d2bcbcba38e30fe561dc925ea9787f1b0e30337859e4efc1c3e527133e,True,20260910_clinical10pct_masked_workflows,"{""numerical_dgp"": 2, ""prompt"": ""ledger-1.0.0"", ""schema_version"": ""stage-forms-1.0.0"", ""scoring"": ""profile-3.0.0"", ""validation_policy"": ""delayed-3.0.0"", ""workflow"": ""appraisal-3.2.0""}",retain_scientific_scores,gpt-6-astra,93657,5850461,0,0,coordination.output_token_accounting,,completed,86.95652173913044,66.66666666666666,75.47169811320754,75.47169811320754,64.44444444444444,100,1.0,1.0,1.0,100.0,True
gpt-6-astra,Codex,persistent,medium,masked,expected,a561a12e2075ee78__persistent__astra_medium__r008,8,25,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/a561a12e2075ee78__persistent__astra_medium__r008,es-v2-nsclc_clinical-42000,f3e91096c1089e8ed19dd6eefa21a274843d24370ab3a42d6f9a400001218cd6,True,20260910_clinical10pct_masked_workflows,"{""numerical_dgp"": 2, ""prompt"": ""ledger-1.0.0"", ""schema_version"": ""stage-forms-1.0.0"", ""scoring"": ""profile-3.0.0"", ""validation_policy"": ""delayed-3.0.0"", ""workflow"": ""appraisal-3.2.0""}",retain_scientific_scores,gpt-6-astra,85211,5406224,0,0,coordination.output_token_accounting,,completed,93.18181818181817,66.66666666666666,77.72511848341232,77.72511848341232,64.44444444444444,100,1.0,0.75,1.0,91.66666666666667,True
gpt-6-astra,Codex,persistent,medium,masked,expected,a561a12e2075ee78__persistent__astra_medium__r009,9,25,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/a561a12e2075ee78__persistent__astra_medium__r009,es-v2-nsclc_clinical-42000,68e097e137b5253a7173f20771e66a7aeb8eaa6d7ef08268608850c33064663a,True,20260910_clinical10pct_masked_workflows,"{""numerical_dgp"": 2, ""prompt"": ""ledger-1.0.0"", ""schema_version"": ""stage-forms-1.0.0"", ""scoring"": ""profile-3.0.0"", ""validation_policy"": ""delayed-3.0.0"", ""workflow"": ""appraisal-3.2.0""}",retain_scientific_scores,gpt-6-astra,80718,5559338,0,0,coordination.output_token_accounting,,completed,88.09523809523809,66.66666666666666,75.8974358974359,75.8974358974359,64.44444444444444,100,1.0,1.0,0.75,91.66666666666667,True
gpt-6-astra,Codex,persistent,medium,masked,expected,a561a12e2075ee78__persistent__astra_medium__r010,10,25,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/a561a12e2075ee78__persistent__astra_medium__r010,es-v2-nsclc_clinical-42000,d4d9bd377724a1e379fe4cccb5d57b35d70162e9053035b85b8863d047138823,True,20260910_clinical10pct_masked_workflows,"{""numerical_dgp"": 2, ""prompt"": ""ledger-1.0.0"", ""schema_version"": ""stage-forms-1.0.0"", ""scoring"": ""profile-3.0.0"", ""validation_policy"": ""delayed-3.0.0"", ""workflow"": ""appraisal-3.2.0""}",retain_scientific_scores,gpt-6-astra,77542,5146583,0,0,coordination.output_token_accounting,,completed,100.0,66.66666666666666,80.0,80.0,64.44444444444444,100,1.0,1.0,1.0,100.0,True
gpt-6-astra,Codex,persistent,medium,masked,surprising,1a87643398283251__persistent__astra_medium__r001,1,25,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__astra_medium__r001,es-v2-nsclc_clinical-42000,6e1df309317d58614626e5a16beac699f36ea2c8ccc11704ce5895b360f4e3fa,True,20260910_clinical10pct_masked_workflows,"{""numerical_dgp"": 2, ""prompt"": ""ledger-1.0.0"", ""schema_version"": ""stage-forms-1.0.0"", ""scoring"": ""profile-3.0.0"", ""validation_policy"": ""delayed-3.0.0"", ""workflow"": ""appraisal-3.2.0""}",retain_scientific_scores,gpt-6-astra,93326,5748697,0,0,coordination.output_token_accounting,,completed,98.14814814814815,83.33333333333334,90.13605442176872,90.13605442176872,66.0,100,1.0,1.0,0.8571428571428571,95.23809523809524,True
gpt-6-astra,Codex,persistent,medium,masked,surprising,1a87643398283251__persistent__astra_medium__r002,2,25,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__astra_medium__r002,es-v2-nsclc_clinical-42000,bff34f5c7d1b273c577c3f5895486300ae5ece66364d8156b446ef216481f399,True,20260910_clinical10pct_masked_workflows,"{""numerical_dgp"": 2, ""prompt"": ""ledger-1.0.0"", ""schema_version"": ""stage-forms-1.0.0"", ""scoring"": ""profile-3.0.0"", ""validation_policy"": ""delayed-3.0.0"", ""workflow"": ""appraisal-3.2.0""}",retain_scientific_scores,gpt-6-astra,86954,5712663,0,2,coordination.output_token_accounting,,completed,83.92857142857143,66.66666666666666,74.30830039525691,74.30830039525691,64.0,100,1.0,1.0,1.0,100.0,True
gpt-6-astra,Codex,persistent,medium,masked,surprising,1a87643398283251__persistent__astra_medium__r003,3,25,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__astra_medium__r003,es-v2-nsclc_clinical-42000,7f821fe185c45512acfcf44c3a019fa738b9ce22eb6283ac5236135b082c4954,True,20260910_clinical10pct_masked_workflows,"{""numerical_dgp"": 2, ""prompt"": ""ledger-1.0.0"", ""schema_version"": ""stage-forms-1.0.0"", ""scoring"": ""profile-3.0.0"", ""validation_policy"": ""delayed-3.0.0"", ""workflow"": ""appraisal-3.2.0""}",retain_scientific_scores,gpt-6-astra,82609,5440997,0,0,coordination.output_token_accounting,,completed,100.0,66.66666666666666,80.0,80.0,64.66666666666667,100,1.0,1.0,1.0,100.0,True
gpt-6-astra,Codex,persistent,medium,masked,surprising,1a87643398283251__persistent__astra_medium__r004,4,25,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__astra_medium__r004,es-v2-nsclc_clinical-42000,595f38d188e698abcad0cbd47023b3acc3ddc6f7ad3e45b5115cf91955be8eb6,True,20260910_clinical10pct_masked_workflows,"{""numerical_dgp"": 2, ""prompt"": ""ledger-1.0.0"", ""schema_version"": ""stage-forms-1.0.0"", ""scoring"": ""profile-3.0.0"", ""validation_policy"": ""delayed-3.0.0"", ""workflow"": ""appraisal-3.2.0""}",retain_scientific_scores,gpt-6-astra,89120,5733997,0,0,coordination.output_token_accounting,,completed,100.0,66.66666666666666,80.0,80.0,64.0,100,1.0,1.0,1.0,100.0,True
gpt-6-astra,Codex,persistent,medium,masked,surprising,1a87643398283251__persistent__astra_medium__r005,5,25,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__astra_medium__r005,es-v2-nsclc_clinical-42000,62a0a48e833a03eb7149f8773841b26c0a00cf2ecc51a9b4df84c83cefe6c6b7,True,20260910_clinical10pct_masked_workflows,"{""numerical_dgp"": 2, ""prompt"": ""ledger-1.0.0"", ""schema_version"": ""stage-forms-1.0.0"", ""scoring"": ""profile-3.0.0"", ""validation_policy"": ""delayed-3.0.0"", ""workflow"": ""appraisal-3.2.0""}",retain_scientific_scores,gpt-6-astra,88373,5770556,0,0,coordination.output_token_accounting,,completed,98.27586206896551,66.66666666666666,79.44250871080139,79.44250871080139,64.0,100,1.0,0.75,1.0,91.66666666666667,True
gpt-6-astra,Codex,persistent,medium,masked,surprising,1a87643398283251__persistent__astra_medium__r006,6,25,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__astra_medium__r006,es-v2-nsclc_clinical-42000,245e8bcbe54e01148be7b8dba6bd314394da33510ba82e658c4bce2ccb8e1cfb,True,20260910_clinical10pct_masked_workflows,"{""numerical_dgp"": 2, ""prompt"": ""ledger-1.0.0"", ""schema_version"": ""stage-forms-1.0.0"", ""scoring"": ""profile-3.0.0"", ""validation_policy"": ""delayed-3.0.0"", ""workflow"": ""appraisal-3.2.0""}",retain_scientific_scores,gpt-6-astra,85904,5673966,0,2,coordination.output_token_accounting,,completed,100.0,66.66666666666666,80.0,80.0,64.66666666666667,100,1.0,1.0,1.0,100.0,True
gpt-6-astra,Codex,persistent,medium,masked,surprising,1a87643398283251__persistent__astra_medium__r007,7,25,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__astra_medium__r007,es-v2-nsclc_clinical-42000,f14049d22887c1ca75a79be02ac1ccefabd3b6c13dd17412425d08558ebb0a3e,True,20260910_clinical10pct_masked_workflows,"{""numerical_dgp"": 2, ""prompt"": ""ledger-1.0.0"", ""schema_version"": ""stage-forms-1.0.0"", ""scoring"": ""profile-3.0.0"", ""validation_policy"": ""delayed-3.0.0"", ""workflow"": ""appraisal-3.2.0""}",retain_scientific_scores,gpt-6-astra,85936,5274147,0,2,coordination.output_token_accounting,,completed,90.0,66.66666666666666,76.59574468085106,76.59574468085106,64.0,100,1.0,1.0,0.5,83.33333333333333,True
gpt-6-astra,Codex,persistent,medium,masked,surprising,1a87643398283251__persistent__astra_medium__r008,8,25,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__astra_medium__r008,es-v2-nsclc_clinical-42000,a37d941f6545da4a557c8a7768a351f0295754440381799f34213edbbe2e9150,True,20260910_clinical10pct_masked_workflows,"{""numerical_dgp"": 2, ""prompt"": ""ledger-1.0.0"", ""schema_version"": ""stage-forms-1.0.0"", ""scoring"": ""profile-3.0.0"", ""validation_policy"": ""delayed-3.0.0"", ""workflow"": ""appraisal-3.2.0""}",retain_scientific_scores,gpt-6-astra,86023,5843515,0,0,coordination.output_token_accounting,,completed,88.88888888888889,66.66666666666666,76.19047619047618,76.19047619047618,64.66666666666667,100,1.0,1.0,0.8333333333333334,94.44444444444446,True
